Price,Close,High,Low,Open,Volume
Ticker,2317.TW,2317.TW,2317.TW,2317.TW,2317.TW
Date,,,,,
2021-02-17,93.83332824707031,95.47952698824699,92.5986791911878,94.65642761765865,91093426
2021-02-18,93.0102310180664,94.24488010237701,93.0102310180664,93.42178071283661,47106193
2021-02-19,90.54093170166016,92.59868014942516,90.12938201210716,92.18713045987215,85959400
2021-02-22,91.3640365600586,93.83333484546557,91.3640365600586,91.77558627429309,60362039
2021-02-23,91.77557373046875,92.59867304643709,89.30627578256376,90.1293750985321,50872508
2021-02-24,90.95248413085938,93.8333320445065,90.95248413085938,92.18713323670815,54709354
2021-02-25,95.89107513427734,95.89107513427734,93.83332674083792,94.65642609821369,112185849
2021-02-26,92.18712615966797,94.65642418180194,92.18712615966797,94.24487451144627,120238472
2021-03-02,92.18712615966797,94.24487451144627,92.18712615966797,94.24487451144627,53842839
2021-03-03,95.06797790527344,95.47952759317505,92.18713008996212,93.01022946576535,86556063
2021-03-04,94.24488067626953,95.47952976809839,92.1871321898881,95.0679800708221,79169388
2021-03-05,94.65642547607422,95.47952482804008,92.59867709615956,93.42177644812543,86577805
2021-03-08,93.42178344726562,95.89108168816252,93.01023374044948,95.47953198134635,54467978
2021-03-09,94.65642547607422,94.65642547607422,92.18712742017664,93.0102267721425,43931623
2021-03-10,95.06797790527344,96.30262696897829,94.65642821737183,95.47952759317505,47780881
2021-03-11,96.30262756347656,97.12572694436098,95.47952818259215,95.89107787303435,75529976
2021-03-12,98.77192687988281,98.77192687988281,96.7141784032186,96.7141784032186,95891682
2021-03-15,99.59503173828125,100.41813117413481,97.53728314864733,98.77193230242769,69445679
2021-03-16,101.24122619628906,101.65277589627397,99.5950273963494,100.00657709633431,93143082
2021-03-17,103.71053314208984,105.35673208085318,101.24123473394485,101.65278446863569,143286602
2021-03-18,106.59136962890625,108.23756838765384,105.35672055984556,105.35672055984556,138285317
2021-03-19,101.65277862548828,104.53362660272883,101.65277862548828,104.53362660272883,162495850
2021-03-22,107.00291442871094,107.00291442871094,102.06431837815505,102.06431837815505,108447343
2021-03-23,107.41446685791016,110.70686430949361,107.00291717646222,109.47221526514981,113002380
2021-03-24,105.35671997070312,108.6491174697876,104.12207090854645,107.00291872024536,80879262
2021-03-25,104.1220703125,106.59136842267787,103.29897094244072,104.53361999752966,64485260
2021-03-26,104.1220703125,105.35671936758894,103.71052062747036,104.9451696825593,52856534
2021-03-29,105.76826477050781,106.17981443887554,104.94516543377233,105.35671510214007,41198716
2021-03-30,106.59136962890625,107.00291931859314,105.76827024953245,106.59136962890625,46587752
2021-03-31,102.06431579589844,104.1220640982351,101.24121647496378,102.88741511683311,130007897
2021-04-01,100.0065689086914,103.29896623901868,99.18346957610957,102.47586690643686,97056517
2021-04-07,101.65277862548828,102.475878047557,100.82967920341954,102.06432833652265,33781367
2021-04-08,100.82967376708984,101.24122345593511,100.00657438939932,101.24122345593511,38840858
2021-04-09,98.77192687988281,101.2412250518799,98.77192687988281,101.2412250518799,80329342
2021-04-12,99.18347930908203,100.4181284291121,97.94883018905198,98.77192960240535,69260254
2021-04-13,100.82967376708984,101.24122345593511,99.59502470055405,100.00657438939932,49602834
2021-04-14,100.0065689086914,101.65276757385504,97.94882057723684,101.24121790756413,53282943
2021-04-15,99.59503173828125,99.59503173828125,98.3603825845009,99.59503173828125,39497137
2021-04-16,101.65277862548828,102.06432833652265,100.41812949238518,100.41812949238518,52975405
2021-04-19,100.0065689086914,101.65276757385504,100.0065689086914,101.65276757385504,32187002
2021-04-20,100.41812133789062,100.41812133789062,99.595021982662,100.00657166027632,26160003
2021-04-21,98.77192687988281,100.00657596588135,98.77192687988281,99.59502627054852,34814313
2021-04-22,96.71417236328125,100.41811938996011,96.71417236328125,100.41811938996011,67451616
2021-04-23,97.94882202148438,97.94882202148438,96.30262333204766,96.30262333204766,39251297
2021-04-26,96.71417236328125,98.77192071143617,96.71417236328125,98.3603710418052,40961898
2021-04-27,97.53727722167969,99.18347599335361,97.1257275287612,97.53727722167969,54358808
2021-04-28,96.30262756347656,97.53727663480318,96.30262756347656,97.12572694436098,38888642
2021-04-29,95.47953796386719,97.53728662688157,95.47953796386719,97.12573689427869,45671359
2021-05-03,92.59867858886719,94.65642700195312,92.18712890625,94.65642700195312,71622387
2021-05-04,89.30628204345703,92.18712985131049,88.48318266978461,92.18712985131049,86723115
2021-05-05,90.54093170166016,93.42177952853116,90.54093170166016,90.54093170166016,65337936
2021-05-06,92.59867858886719,93.01022827148438,90.95247985839843,92.18712890625,37607241
2021-05-07,96.71417236328125,96.71417236328125,93.83332467586436,94.24487434549535,60426256
